Model,Sheet,MSE,MAE,MRE
CNNRegressor,DA,53.59615887302122,4.669515821824066,0.5319477583127253
CNNRegressor,FE,0.016993076923355388,0.12194820464855757,0.7344858390048663
CNNRegressor,OR,56.14398176258606,4.937996717718884,0.591319323985466
MLP,DA,47.67159091598027,4.1599379761611806,0.4434029083960225
MLP,FE,0.02355651926579068,0.14672476172986237,0.8849273669785893
MLP,OR,47.04741380354695,4.1023904128284014,0.44110781929502973
RNNRegressor,DA,64.66937454217829,5.69628317064525,0.7503989501384569
RNNRegressor,FE,0.007427232373440498,0.07217949563930559,0.4206555483044178
RNNRegressor,OR,61.48084831938184,5.414275835083684,0.6895469798357696
