Model,Sheet,MSE,MAE,MRE
CNNRegressor,DA,5.8880257312309725,0.49332856240536227,0.13513138403027097
CNNRegressor,FE,0.004854213140629096,0.018705873078582673,0.12968265839559576
CNNRegressor,OR,3.911625254556551,0.3433757727763407,0.15795425871435545
MLP,DA,4.612170206468112,0.39436118129243725,0.1306722663474535
MLP,FE,0.004872277598397398,0.018590508614663753,0.14287820564821024
MLP,OR,3.2569611864578905,0.32573081640750834,0.1871066617675151
RNNRegressor,DA,7.6007494163218166,0.6834448760760136,0.20253821658546356
RNNRegressor,FE,0.004895950437428247,0.01932819195988376,0.12875981501126096
RNNRegressor,OR,8.292344809049037,0.6633645276794311,0.2076358792001666
