Model,Sheet,MSE,MAE,MRE
CNNRegressor,DA,7.6860336624614884,0.7300597176646716,0.2992427982143367
CNNRegressor,FE,0.00499271402247996,0.019905357343847234,0.14738853339689567
CNNRegressor,OR,5.4909960133921345,0.441187057140867,0.17598770188406512
MLP,DA,7.690560191832639,0.7305701077940293,0.31051593707336017
MLP,FE,0.004982241717490747,0.0198270411738964,0.15733863601296022
MLP,OR,2.9018002063969135,0.29082966367245017,0.19350166642209216
RNNRegressor,DA,7.685773682697424,0.7301426855367297,0.30061498388041286
RNNRegressor,FE,0.0050121410790577615,0.020993577382337363,0.17441689229775206
RNNRegressor,OR,7.760218366717292,0.6093410123574897,0.18716007295993595
